Product Title,Final Price,Reduction?,Price Without Reduction,URL Product,URL Image,Stock Status
Coessens Largillier Blanc de Noirs NV-BP_378994,550,yes,635,https://www.watsonswine.com/en/wine/coessens-largillier-blanc-de-noirs-nv/p/BP_378994,https://www.watsonswine.com/medias/sys_master/front/prd/8994793685022.png,In Stock
Coessens Largillier Les Sens Boises Brut NV-BP_378995,780,no,,https://www.watsonswine.com/en/wine/coessens-largillier-les-sens-boises-brut-nv/p/BP_378995,https://www.watsonswine.com/medias/sys_master/front/prd/8994826321950.png,In Stock
Lot. 1-175 Chardonnay Pinot Noir Cuvée 2012-BP_380130,1580,no,,https://www.watsonswine.com/en/wine/lot-1-175-chardonnay-pinot-noir-cuv%C3%A9e-2012/p/BP_380130,https://www.watsonswine.com/medias/sys_master/front/prd/8892484878366.png,In Stock
Gosset Celebris Les Celebrissime 1995 (With Gift Box)-BP_379725,4800,no,,https://www.watsonswine.com/en/wine/gosset-celebris-les-celebrissime-1995-with-gift-box-/p/BP_379725,https://www.watsonswine.com/medias/sys_master/front/prd/8994305507358.png,In Stock
Franck Bonville Prestige Blanc de Blancs Avize Grand Cru NV-BP_390489,480,no,,https://www.watsonswine.com/en/wine/franck-bonville-prestige-blanc-de-blancs-avize-grand-cru-nv/p/BP_390489,https://www.watsonswine.com/medias/sys_master/front/prd/8994864988190.png,In Stock
Soutiran Blanc De Blanc Grd Cru Brut Ambonnay NV-BP_390494,480,no,,https://www.watsonswine.com/en/wine/soutiran-blanc-de-blanc-grd-cru-brut-ambonnay-nv/p/BP_390494,https://www.watsonswine.com/medias/sys_master/front/prd/9032206024734.png,In Stock
Soutiran Signature Grd Cru Brut Ambonnay Nv-BP_390493,450,no,,https://www.watsonswine.com/en/wine/soutiran-signature-grd-cru-brut-ambonnay-nv/p/BP_390493,https://www.watsonswine.com/medias/sys_master/front/prd/8908726239262.png,In Stock
Soutiran Rose Saignee Ambonnay Brut NV-BP_390496,650,no,,https://www.watsonswine.com/en/wine/soutiran-rose-saignee-ambonnay-brut-nv/p/BP_390496,https://www.watsonswine.com/medias/sys_master/front/prd/8908752814110.png,In Stock
Veuve Clicquot Vintage Reserve 2012 (With Gift Box)-BP_404573,680,no,,https://www.watsonswine.com/en/wine/veuve-clicquot-vintage-reserve-2012-with-gift-box-/p/BP_404573,https://www.watsonswine.com/medias/sys_master/front/prd/8912785408030.png,In Stock
Veuve Clicquot Vintage Rose 2012-BP_404574,730,no,,https://www.watsonswine.com/en/wine/veuve-clicquot-vintage-rose-2012/p/BP_404574,https://www.watsonswine.com/medias/sys_master/front/prd/8912784162846.png,In Stock
